1,18,12,28
2,18,19,55
3,19,12,28
4,19,20,20
5,19,2,27
6,20,1,27
7,20,11,24
8,20,2,27
9,11,23,5
10,23,1,5
11,23,6,40
12,23,25,44
13,6,25,10
14,1,25,26
15,1,22,35
16,2,16,16
17,2,21,10
18,16,18,50
19,16,21,20
20,16,17,37
21,16,15,25
22,17,26,135
23,21,15,20
24,21,22,22
25,15,14,22
26,14,22,14
27,22,24,15
28,24,14,20
29,24,13,14
30,24,5,32
31,24,25,35
32,13,5,32
33,5,25,25
34,5,29,25
35,29,25,42
36,29,30,16
37,30,31,46
38,31,39,95
39,39,18,57
40,29,28,35
41,28,27,36
42,27,26,26
43,29,32,23
44,12,18,28
45,19,18,55
46,12,19,28
47,20,19,20
48,2,19,27
49,1,20,27
50,11,20,24
51,2,20,27
52,23,11,5
53,1,23,5
54,6,23,40
55,25,23,44
56,25,6,10
57,25,1,26
58,2,1,35
59,16,2,16
60,21,2,10
61,18,16,50
62,21,16,20
63,17,16,37
64,15,16,25
65,26,17,135
66,15,21,20
67,22,21,22
68,14,15,22
69,22,14,14
70,24,22,15
71,14,24,20
72,13,24,14
73,5,24,32
74,25,24,35
75,5,13,32
76,25,5,25
77,29,5,25
78,25,29,42
79,30,29,16
80,31,30,46
81,39,31,95
82,18,39,57
83,28,29,35
84,27,28,36
85,26,27,26
86,32,29,23
87,32,9,39
88,9,32,39
89,32,8,12
90,8,32,12
91,9,10,28
92,10,9,28
93,9,33,22
94,33,9,22
95,9,35,17
96,35,9,17
97,10,35,20
98,35,10,20
99,10,4,38
100,4,10,38
101,4,35,70
102,35,4,70
103,4,3,85
104,3,4,85
105,35,3,20
106,3,35,20
107,35,33,25
108,33,35,25
109,35,34,31
110,34,35,31
111,34,3,31
112,3,34,31
113,33,8,12
114,8,33,12
115,34,8,12
116,8,34,12
117,34,7,28
118,7,34,28
119,7,3,57
120,3,7,57
121,3,37,24
122,37,3,24
123,37,38,83
124,38,37,83
125,38,31,86
126,31,38,86
127,37,36,103
128,36,37,103
129,36,26,77
130,26,36,77
